ranking,school,edition,rank,source_file
QS Global MBA,Frankfurt School of Finance & Management,2025,40,2025 QS Global MBA and Business Masters Results export
QS Global MBA,Frankfurt School of Finance & Management,2026,40,2026 QS Global MBA and Business Masters Results export
QS Global MBA,Mannheim Business School,2025,47,2025 QS Global MBA and Business Masters Results export
QS Global MBA,Mannheim Business School,2026,46,2026 QS Global MBA and Business Masters Results export
QS Global MBA,WHU (Otto Beisheim),2025,55,2025 QS Global MBA and Business Masters Results export
QS Global MBA,WHU (Otto Beisheim),2026,57,2026 QS Global MBA and Business Masters Results export
QS Global MBA,ESMT Berlin,2025,78,2025 QS Global MBA and Business Masters Results export
QS Global MBA,ESMT Berlin,2026,84,2026 QS Global MBA and Business Masters Results export
QS Management,WHU (Otto Beisheim),2025,24,2025 QS Global MBA and Business Masters Results export
QS Management,WHU (Otto Beisheim),2026,22,2026 QS Global MBA and Business Masters Results export
QS Management,Mannheim Business School,2025,29,2025 QS Global MBA and Business Masters Results export
QS Management,Mannheim Business School,2026,26,2026 QS Global MBA and Business Masters Results export
QS Management,TUM School of Management,2025,31,2025 QS Global MBA and Business Masters Results export
QS Management,TUM School of Management,2026,28,2026 QS Global MBA and Business Masters Results export
QS Management,Frankfurt School of Finance & Management,2025,45,2025 QS Global MBA and Business Masters Results export
QS Management,Frankfurt School of Finance & Management,2026,47,2026 QS Global MBA and Business Masters Results export
QS Management,EBS Business School,2025,58,2025 QS Global MBA and Business Masters Results export
QS Management,EBS Business School,2026,64,2026 QS Global MBA and Business Masters Results export
QS Management,ESMT Berlin,2025,75,2025 QS Global MBA and Business Masters Results export
QS Management,ESMT Berlin,2026,100,2026 QS Global MBA and Business Masters Results export
